Username,Repository Name,Repository Link,Stars
mrdoob,three.js,https://github.com/mrdoob/three.js,91000
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,22300
libgdx,libgdx,https://github.com/libgdx/libgdx,21400
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,20200
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,16700
aframevr,aframe,https://github.com/aframevr/aframe,15200
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,15000
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,13800
CesiumGS,cesium,https://github.com/CesiumGS/cesium,10300
metafizzy,zdog,https://github.com/metafizzy/zdog,9700
timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,8800
isl-org,Open3D,https://github.com/isl-org/Open3D,8500
blender,blender,https://github.com/blender/blender,8300
a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,7400
domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,6200
FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,6100
openscad,openscad,https://github.com/openscad/openscad,5500
google,model-viewer,https://github.com/google/model-viewer,5500
spritejs,spritejs,https://github.com/spritejs/spritejs,5200
jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,4900
