Username,Repository Name,Repository Link,Stars
public-apis,public-apis,https://github.com/public-apis/public-apis,237000
neovim,neovim,https://github.com/neovim/neovim,65200
tiangolo,fastapi,https://github.com/tiangolo/fastapi,57000
strapi,strapi,https://github.com/strapi/strapi,53300
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,51100
ocornut,imgui,https://github.com/ocornut/imgui,47000
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,35900
slatedocs,slate,https://github.com/slatedocs/slate,35100
hasura,graphql-engine,https://github.com/hasura/graphql-engine,29600
ccxt,ccxt,https://github.com/ccxt/ccxt,28000
Kong,insomnia,https://github.com/Kong/insomnia,27800
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,27700
httpie,httpie,https://github.com/httpie/httpie,27400
YMFE,yapi,https://github.com/YMFE/yapi,26000
encode,django-rest-framework,https://github.com/encode/django-rest-framework,25400
trpc,trpc,https://github.com/trpc/trpc,24800
littlecodersh,ItChat,https://github.com/littlecodersh/ItChat,23700
directus,directus,https://github.com/directus/directus,21300
microsoft,api-guidelines,https://github.com/microsoft/api-guidelines,21300
paularmstrong,normalizr,https://github.com/paularmstrong/normalizr,21000
