Username,Repository Name,Repository Link,Stars
dotnet,AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,11600
aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11000
nopSolutions,nopCommerce,https://github.com/nopSolutions/nopCommerce,8100
ElectronNET,Electron.NET,https://github.com/ElectronNET/Electron.NET,6700
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6000
RicoSuter,NSwag,https://github.com/RicoSuter/NSwag,5800
FastEndpoints,FastEndpoints,https://github.com/FastEndpoints/FastEndpoints,2800
dotnet,aspnet-api-versioning,https://github.com/dotnet/aspnet-api-versioning,2700
smartstore,SmartStoreNET,https://github.com/smartstore/SmartStoreNET,2600
JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants/ImageProcessor,2500
serenity-is,Serenity,https://github.com/serenity-is/Serenity,2300
mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,2300
TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO/aspnetcore-angular-universal,1500
TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO/aspnetcore-Vue-starter,1200
MarimerLLC,csla,https://github.com/MarimerLLC/csla,1100
antonioCoco,SharPyShell,https://github.com/antonioCoco/SharPyShell,774
riganti,dotvvm,https://github.com/riganti/dotvvm,673
cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api,631
json-api-dotnet,JsonApiDotNetCore,https://github.com/json-api-dotnet/JsonApiDotNetCore,610
smartstore,Smartstore,https://github.com/smartstore/Smartstore,607
