Username,Repository Name,Repository Link,Stars
ljianshu,Blog,https://github.com/ljianshu/Blog,7600
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,7300
developit,unfetch,https://github.com/developit/unfetch,5600
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,5400
jquery-form,form,https://github.com/jquery-form/form,5200
Studio-42,elFinder,https://github.com/Studio-42/elFinder,4400
elbywan,wretch,https://github.com/elbywan/wretch,3900
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3000
ded,reqwest,https://github.com/ded/reqwest,2900
LeaVerou,bliss,https://github.com/LeaVerou/bliss,2400
wendux,ajax-hook,https://github.com/wendux/ajax-hook,2300
noelboss,featherlight,https://github.com/noelboss/featherlight,2100
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,1800
ptaoussanis,sente,https://github.com/ptaoussanis/sente,1700
nette,tracy,https://github.com/nette/tracy,1600
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,1600
loadingio,css-spinner,https://github.com/loadingio/css-spinner,1600
k8w,tsrpc,https://github.com/k8w/tsrpc,1500
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,1400
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,1400
