Username,Repository Name,Repository Link,Stars
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,255000
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,169000
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,164000
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,158000
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,89900
kdn251,interviews,https://github.com/kdn251/interviews,59600
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,51500
azl397985856,leetcode,https://github.com/azl397985856/leetcode,51100
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,42700
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,38200
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,29600
huihut,interview,https://github.com/huihut/interview,28700
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,27200
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,27000
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,26300
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,24200
keon,algorithms,https://github.com/keon/algorithms,22500
trekhleb,homemade-machine-learning,https://github.com/trekhleb/homemade-machine-learning,21200
mxgmn,WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,21200
AtsushiSakai,PythonRobotics,https://github.com/AtsushiSakai/PythonRobotics,18200
