Username,Repository Name,Repository Link,Stars
amphp,amp,https://github.com/amphp/amp,3900
danog,MadelineProto,https://github.com/danog/MadelineProto,2300
amphp,http-server,https://github.com/amphp/http-server,1200
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,755
amphp,parallel,https://github.com/amphp/parallel,660
amphp,http-client,https://github.com/amphp/http-client,653
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,339
amphp,byte-stream,https://github.com/amphp/byte-stream,326
amphp,mysql,https://github.com/amphp/mysql,306
amphp,parallel-functions,https://github.com/amphp/parallel-functions,241
amphp,process,https://github.com/amphp/process,210
amphp,socket,https://github.com/amphp/socket,190
xtrime-ru,TelegramRSS,https://github.com/xtrime-ru/TelegramRSS,163
amphp,redis,https://github.com/amphp/redis,135
amphp,sync,https://github.com/amphp/sync,134
amphp,dns,https://github.com/amphp/dns,130
kelunik,acme,https://github.com/kelunik/acme,117
amphp,websocket-client,https://github.com/amphp/websocket-client,116
amphp,serialization,https://github.com/amphp/serialization,95
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,92
