Username,Repository Name,Repository Link,Stars
flutter,flutter,https://github.com/flutter/flutter,152000
facebook,react-native,https://github.com/facebook/react-native,109000
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,102000
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,81500
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,64099
google,material-design-icons,https://github.com/google/material-design-icons,47900
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,46500
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,46100
square,okhttp,https://github.com/square/okhttp,43900
android,architecture-samples,https://github.com/android/architecture-samples,42600
square,retrofit,https://github.com/square/retrofit,41400
dcloudio,uni-app,https://github.com/dcloudio/uni-app,38000
fastlane,fastlane,https://github.com/fastlane/fastlane,36900
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36400
laurent22,joplin,https://github.com/laurent22/joplin,35500
skylot,jadx,https://github.com/skylot/jadx,34200
airbnb,lottie-android,https://github.com/airbnb/lottie-android,33800
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,33600
bumptech,glide,https://github.com/bumptech/glide,33500
xitu,gold-miner,https://github.com/xitu/gold-miner,32200
