Username,Repository Name,Repository Link,Stars
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,102000
angular,angular,https://github.com/angular/angular,87700
storybookjs,storybook,https://github.com/storybookjs/storybook,78200
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,55900
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,49000
prettier,prettier,https://github.com/prettier/prettier,45400
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,35200
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,32700
angular,angular-cli,https://github.com/angular/angular-cli,26100
angular,components,https://github.com/angular/components,23400
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,22400
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,21300
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,20500
pubkey,rxdb,https://github.com/pubkey/rxdb,19100
nrwl,nx,https://github.com/nrwl/nx,17300
teambit,bit,https://github.com/teambit/bit,16600
sweetalert2,sweetalert2,https://github.com/sweetalert2/sweetalert2,15800
sudheerj,javascript-interview-questions,https://github.com/sudheerj/javascript-interview-questions,15600
wailsapp,wails,https://github.com/wailsapp/wails,15400
codesandbox,codesandbox-client,https://github.com/codesandbox/codesandbox-client,12300
