Username,Repository Name,Repository Link,Stars
arendst,Tasmota,https://github.com/arendst/Tasmota,19600
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,14700
arduino,Arduino,https://github.com/arduino/Arduino,13500
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13000
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,12700
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,11600
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,10600
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,8400
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8200
platformio,platformio-core,https://github.com/platformio/platformio-core,6700
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6100
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,5800
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4000
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,3900
arduino,arduino-cli,https://github.com/arduino/arduino-cli,3900
olikraus,u8g2,https://github.com/olikraus/u8g2,3900
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3600
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,3500
NerdLang,nerd,https://github.com/NerdLang/nerd,3400
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3300
