Username,Repository Name,Repository Link,Stars
sindresorhus,awesome,https://github.com/sindresorhus/awesome,250000
vinta,awesome-python,https://github.com/vinta/awesome-python,165000
awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,129000
avelino,awesome-go,https://github.com/avelino/awesome-go,100000
trimstray,the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,96000
papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,71600
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,67900
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,64099
jaywcjlove,awesome-mac,https://github.com/jaywcjlove/awesome-mac,60000
enaqx,awesome-react,https://github.com/enaqx/awesome-react,55000
DopplerHQ,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,54900
sindresorhus,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,50800
MunGell,awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,50600
prakhar1989,awesome-courses,https://github.com/prakhar1989/awesome-courses,46800
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,46500
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,46100
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,45800
binhnguyennus,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,44800
vsouza,awesome-ios,https://github.com/vsouza/awesome-ios,42600
tiimgreen,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,40700
