Username,Repository Name,Repository Link,Stars
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,42500
pulumi,pulumi,https://github.com/pulumi/pulumi,15800
microsoft,recommenders,https://github.com/microsoft/recommenders,15500
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13800
Azure,azure-quickstart-templates,https://github.com/Azure/azure-quickstart-templates,12900
mozilla,sops,https://github.com/mozilla/sops,12700
caprover,caprover,https://github.com/caprover/caprover,10300
google,go-cloud,https://github.com/google/go-cloud,9000
infracost,infracost,https://github.com/infracost/infracost,8900
microsoft,computervision-recipes,https://github.com/microsoft/computervision-recipes,8900
prowler-cloud,prowler,https://github.com/prowler-cloud/prowler,8000
microsoft,azuredatastudio,https://github.com/microsoft/azuredatastudio,7100
node-formidable,formidable,https://github.com/node-formidable/formidable,6600
Netflix,metaflow,https://github.com/Netflix/metaflow,6600
midwayjs,midway,https://github.com/midwayjs/midway,6600
thangchung,clean-code-dotnet,https://github.com/thangchung/clean-code-dotnet,6000
aquasecurity,tfsec,https://github.com/aquasecurity/tfsec,5800
budtmo,docker-android,https://github.com/budtmo/docker-android,5600
bridgecrewio,checkov,https://github.com/bridgecrewio/checkov,5500
nccgroup,ScoutSuite,https://github.com/nccgroup/ScoutSuite,5300
