Username,Repository Name,Repository Link,Stars
babel,babel,https://github.com/babel/babel,42200
swc-project,swc,https://github.com/swc-project/swc,27100
nylas,nylas-mail,https://github.com/nylas/nylas-mail,24700
electron-react-boilerplate,electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21200
avajs,ava,https://github.com/avajs/ava,20300
SimulatedGREG,electron-vue,https://github.com/SimulatedGREG/electron-vue,15300
grab,front-end-guide,https://github.com/grab/front-end-guide,14900
jamiebuilds,babel-handbook,https://github.com/jamiebuilds/babel-handbook,11600
grommet,grommet,https://github.com/grommet/grommet,8200
developit,htm,https://github.com/developit/htm,8200
ben-rogerson,twin.macro,https://github.com/ben-rogerson/twin.macro,7200
angular-fullstack,generator-angular-fullstack,https://github.com/angular-fullstack/generator-angular-fullstack,6100
documentationjs,documentation,https://github.com/documentationjs/documentation,5700
insin,nwb,https://github.com/insin/nwb,5600
fkling,astexplorer,https://github.com/fkling/astexplorer,5400
thinkjs,thinkjs,https://github.com/thinkjs/thinkjs,5300
egoist,poi,https://github.com/egoist/poi,5300
transitive-bullshit,create-react-library,https://github.com/transitive-bullshit/create-react-library,4800
duxianwei520,react,https://github.com/duxianwei520/react,4700
babel,babel-loader,https://github.com/babel/babel-loader,4700
