Username,Repository Name,Repository Link,Stars
jlevy,the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,135000
nvm-sh,nvm,https://github.com/nvm-sh/nvm,66500
junegunn,fzf,https://github.com/junegunn/fzf,51800
google,zx,https://github.com/google/zx,37200
starship,starship,https://github.com/starship/starship,33900
dylanaraps,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,33300
LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,33300
koalaman,shellcheck,https://github.com/koalaman/shellcheck,31900
acmesh-official,acme.sh,https://github.com/acmesh-official/acme.sh,31200
mathiasbynens,dotfiles,https://github.com/mathiasbynens/dotfiles,29000
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,27200
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,23700
withfig,autocomplete,https://github.com/withfig/autocomplete,21900
dylanaraps,neofetch,https://github.com/dylanaraps/neofetch,17800
asdf-vm,asdf,https://github.com/asdf-vm/asdf,17300
Nyr,openvpn-install,https://github.com/Nyr/openvpn-install,17000
rbenv,rbenv,https://github.com/rbenv/rbenv,15000
kingToolbox,WindTerm,https://github.com/kingToolbox/WindTerm,14000
faressoft,terminalizer,https://github.com/faressoft/terminalizer,14000
shelljs,shelljs,https://github.com/shelljs/shelljs,13800
