Username,Repository Name,Repository Link,Stars
bitcoin,bitcoin,https://github.com/bitcoin/bitcoin,69200
ccxt,ccxt,https://github.com/ccxt/ccxt,28000
freqtrade,freqtrade,https://github.com/freqtrade/freqtrade,21400
HelloZeroNet,ZeroNet,https://github.com/HelloZeroNet/ZeroNet,17800
solana-labs,solana,https://github.com/solana-labs/solana,10200
askmike,gekko,https://github.com/askmike/gekko,9900
bbfamily,abu,https://github.com/bbfamily/abu,9900
dvf,blockchain,https://github.com/dvf/blockchain,7400
lbryio,lbry-sdk,https://github.com/lbryio/lbry-sdk,7200
lightningnetwork,lnd,https://github.com/lightningnetwork/lnd,6900
yeasy,blockchain_guide,https://github.com/yeasy/blockchain_guide,6500
spesmilo,electrum,https://github.com/spesmilo/electrum,6300
butor,blackbird,https://github.com/butor/blackbird,5700
btcsuite,btcd,https://github.com/btcsuite/btcd,5300
bitcoinjs,bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib,4900
btcpayserver,btcpayserver,https://github.com/btcpayserver/btcpayserver,4700
jesse-ai,jesse,https://github.com/jesse-ai/jesse,4600
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,4600
CryptoSignal,Crypto-Signal,https://github.com/CryptoSignal/Crypto-Signal,4400
bisq-network,bisq,https://github.com/bisq-network/bisq,4300
