Username,Repository Name,Repository Link,Stars
ccxt,ccxt,https://github.com/ccxt/ccxt,28000
discordjs,discord.js,https://github.com/discordjs/discord.js,22900
python-telegram-bot,python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,21700
hubotio,hubot,https://github.com/hubotio/hubot,16400
RasaHQ,rasa,https://github.com/RasaHQ/rasa,16000
wechaty,wechaty,https://github.com/wechaty/wechaty,16000
InstaPy,InstaPy,https://github.com/InstaPy/InstaPy,15300
gunthercox,ChatterBot,https://github.com/gunthercox/ChatterBot,13200
tgbot-collection,YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,12700
Rapptz,discord.py,https://github.com/Rapptz/discord.py,12700
leon-ai,leon,https://github.com/leon-ai/leon,12400
howdyai,botkit,https://github.com/howdyai/botkit,11100
botpress,botpress,https://github.com/botpress/botpress,10300
pedroslopez,whatsapp-web.js,https://github.com/pedroslopez/whatsapp-web.js,9900
sfyc23,EverydayWechat,https://github.com/sfyc23/EverydayWechat,9500
Mrs4s,go-cqhttp,https://github.com/Mrs4s/go-cqhttp,8100
microsoft,ailab,https://github.com/microsoft/ailab,7300
microsoft,botframework-sdk,https://github.com/microsoft/botframework-sdk,7100
yagop,node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,7100
EZFNDEV,EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,6900
