Username,Repository Name,Repository Link,Stars
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,164000
practical-tutorials,project-based-learning,https://github.com/practical-tutorials/project-based-learning,99800
azl397985856,leetcode,https://github.com/azl397985856/leetcode,51100
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,45800
x64dbg,x64dbg,https://github.com/x64dbg/x64dbg,40500
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,38200
carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,30300
huihut,interview,https://github.com/huihut/interview,28700
microsoft,calculator,https://github.com/microsoft/calculator,27000
CMU-Perceptual-Computing-Lab,openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,26800
yuzu-emu,yuzu,https://github.com/yuzu-emu/yuzu,24900
TheAlgorithms,C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,24200
doocs,leetcode,https://github.com/doocs/leetcode,21900
changkun,modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,20700
ethereum,solidity,https://github.com/ethereum/solidity,20000
dragonflydb,dragonfly,https://github.com/dragonflydb/dragonfly,19100
microsoft,vcpkg,https://github.com/microsoft/vcpkg,18500
gabime,spdlog,https://github.com/gabime/spdlog,17600
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,16700
catchorg,Catch2,https://github.com/catchorg/Catch2,16500
