Username,Repository Name,Repository Link,Stars
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,81500
neovim,neovim,https://github.com/neovim/neovim,65200
obsproject,obs-studio,https://github.com/obsproject/obs-studio,47100
git,git,https://github.com/git/git,46000
fffaraz,awesome-cpp,https://github.com/fffaraz/awesome-cpp,45800
FFmpeg,FFmpeg,https://github.com/FFmpeg/FFmpeg,35700
serhii-londar,open-source-mac-os-apps,https://github.com/serhii-londar/open-source-mac-os-apps,35100
vim,vim,https://github.com/vim/vim,30100
curl,curl,https://github.com/curl/curl,29800
huihut,interview,https://github.com/huihut/interview,28700
ggreer,the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24800
pbatard,rufus,https://github.com/pbatard/rufus,22700
mpv-player,mpv,https://github.com/mpv-player/mpv,22100
ossrs,srs,https://github.com/ossrs/srs,21400
google,flatbuffers,https://github.com/google/flatbuffers,20200
ruby,ruby,https://github.com/ruby/ruby,20200
oracle,graal,https://github.com/oracle/graal,18500
microsoft,vcpkg,https://github.com/microsoft/vcpkg,18500
kovidgoyal,kitty,https://github.com/kovidgoyal/kitty,18500
radareorg,radare2,https://github.com/radareorg/radare2,17900
