Username,Repository Name,Repository Link,Stars
CSSEGISandData,COVID-19,https://github.com/CSSEGISandData/COVID-19,29300
nytimes,covid-19-data,https://github.com/nytimes/covid-19-data,7000
covid19india,covid19india-react,https://github.com/covid19india/covid19india-react,6900
tokyo-metropolitan-gov,covid19,https://github.com/tokyo-metropolitan-gov/covid19,6300
owid,covid-19-data,https://github.com/owid/covid-19-data,5600
pcm-dpc,COVID-19,https://github.com/pcm-dpc/COVID-19,3900
ieee8023,covid-chestxray-dataset,https://github.com/ieee8023/covid-chestxray-dataset,2900
disease-sh,API,https://github.com/disease-sh/API,2400
geohot,corona,https://github.com/geohot/corona,2400
WorldHealthOrganization,app,https://github.com/WorldHealthOrganization/app,2100
corona-warn-app,cwa-server,https://github.com/corona-warn-app/cwa-server,1900
ahmadawais,corona-cli,https://github.com/ahmadawais/corona-cli,1900
github,covid19-dashboard,https://github.com/github/covid19-dashboard,1600
ExpDev07,coronavirus-tracker-api,https://github.com/ExpDev07/coronavirus-tracker-api,1600
soroushchehresa,awesome-coronavirus,https://github.com/soroushchehresa/awesome-coronavirus,1500
mhdhejazi,CoronaTracker,https://github.com/mhdhejazi/CoronaTracker,1500
chandrikadeb7,Face-Mask-Detection,https://github.com/chandrikadeb7/Face-Mask-Detection,1400
neherlab,covid19_scenarios,https://github.com/neherlab/covid19_scenarios,1400
chrismattmann,tika-python,https://github.com/chrismattmann/tika-python,1300
pomber,covid19,https://github.com/pomber/covid19,1200
