Username,Repository Name,Repository Link,Stars
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,36300
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,23700
refined-github,refined-github,https://github.com/refined-github/refined-github,20900
darkreader,darkreader,https://github.com/darkreader/darkreader,16500
yetone,openai-translator,https://github.com/yetone/openai-translator,15100
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14700
unbug,codelf,https://github.com/unbug/codelf,13500
wong2,chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,12900
dailydotdev,daily,https://github.com/dailydotdev/daily,12500
Anarios,return-youtube-dislike,https://github.com/Anarios/return-youtube-dislike,11000
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,10900
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10700
listen1,listen1_chrome_extension,https://github.com/listen1/listen1_chrome_extension,10000
alyssaxuu,screenity,https://github.com/alyssaxuu/screenity,8200
appbaseio,dejavu,https://github.com/appbaseio/dejavu,8100
Kenshin,simpread,https://github.com/Kenshin/simpread,7100
josStorer,chatGPTBox,https://github.com/josStorer/chatGPTBox,6900
AutomaApp,automa,https://github.com/AutomaApp/automa,6800
ajayyy,SponsorBlock,https://github.com/ajayyy/SponsorBlock,6700
alyssaxuu,omni,https://github.com/alyssaxuu/omni,6200
