Username,Repository Name,Repository Link,Stars
electron,electron,https://github.com/electron/electron,107000
puppeteer,puppeteer,https://github.com/puppeteer/puppeteer,82800
microsoft,playwright,https://github.com/microsoft/playwright,50000
FiloSottile,mkcert,https://github.com/FiloSottile/mkcert,40600
iamadamdev,bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,36300
jaywcjlove,linux-command,https://github.com/jaywcjlove/linux-command,23700
ovity,octotree,https://github.com/ovity/octotree,22400
segmentio,nightmare,https://github.com/segmentio/nightmare,19400
checkly,headless-recorder,https://github.com/checkly/headless-recorder,14700
google,WebFundamentals,https://github.com/google/WebFundamentals,13800
prisma-archive,chromeless,https://github.com/prisma-archive/chromeless,13200
GoogleChrome,chrome-extensions-samples,https://github.com/GoogleChrome/chrome-extensions-samples,12100
casesandberg,react-color,https://github.com/casesandberg/react-color,11300
gildas-lormeau,SingleFile,https://github.com/gildas-lormeau/SingleFile,10900
crimx,ext-saladict,https://github.com/crimx/ext-saladict,10700
MetaMask,metamask-extension,https://github.com/MetaMask/metamask-extension,9700
chromedp,chromedp,https://github.com/chromedp/chromedp,9000
uBlock-LLC,uBlock,https://github.com/uBlock-LLC/uBlock,8100
moonD4rk,HackBrowserData,https://github.com/moonD4rk/HackBrowserData,7400
Kenshin,simpread,https://github.com/Kenshin/simpread,7100
