Username,Repository Name,Repository Link,Stars
metabase,metabase,https://github.com/metabase/metabase,32100
logseq,logseq,https://github.com/logseq/logseq,21900
penpot,penpot,https://github.com/penpot/penpot,21500
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12900
LightTable,LightTable,https://github.com/LightTable/LightTable,11700
kanaka,mal,https://github.com/kanaka/mal,9300
lk-geimfari,awesomo,https://github.com/lk-geimfari/awesomo,8900
tonsky,datascript,https://github.com/tonsky/datascript,5100
reagent-project,reagent,https://github.com/reagent-project/reagent,4600
riemann,riemann,https://github.com/riemann/riemann,4200
weavejester,compojure,https://github.com/weavejester/compojure,4000
izhangzhihao,intellij-rainbow-brackets,https://github.com/izhangzhihao/intellij-rainbow-brackets,4000
bbatsov,clojure-style-guide,https://github.com/bbatsov/clojure-style-guide,3900
status-im,status-mobile,https://github.com/status-im/status-mobile,3700
ring-clojure,ring,https://github.com/ring-clojure/ring,3600
clojure-emacs,cider,https://github.com/clojure-emacs/cider,3400
babashka,babashka,https://github.com/babashka/babashka,3300
viebel,klipse,https://github.com/viebel/klipse,3000
tallesl,Rich-Hickey-fanclub,https://github.com/tallesl/Rich-Hickey-fanclub,2900
bhauman,lein-figwheel,https://github.com/bhauman/lein-figwheel,2900
