Username,Repository Name,Repository Link,Stars
realm,SwiftLint,https://github.com/realm/SwiftLint,17300
facebook,infer,https://github.com/facebook/infer,14000
analysis-tools-dev,static-analysis,https://github.com/analysis-tools-dev/static-analysis,11200
Kristories,awesome-guidelines,https://github.com/Kristories/awesome-guidelines,8800
checkstyle,checkstyle,https://github.com/checkstyle/checkstyle,7700
SonarSource,sonarqube,https://github.com/SonarSource/sonarqube,7700
facebook,pyre-check,https://github.com/facebook/pyre-check,6300
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,6300
detekt,detekt,https://github.com/detekt/detekt,5300
import-js,eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,4700
pylint-dev,pylint,https://github.com/pylint-dev/pylint,4600
simplecov-ruby,simplecov,https://github.com/simplecov-ruby/simplecov,4600
pmd,pmd,https://github.com/pmd/pmd,4300
trekhleb,state-of-the-art-shitcode,https://github.com/trekhleb/state-of-the-art-shitcode,4200
phpro,grumphp,https://github.com/phpro/grumphp,3900
kucherenko,jscpd,https://github.com/kucherenko/jscpd,3000
htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2900
codeclimate,codeclimate,https://github.com/codeclimate/codeclimate,2400
wemake-services,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,2200
uber,piranha,https://github.com/uber/piranha,2000
