Username,Repository Name,Repository Link,Stars
ovity,octotree,https://github.com/ovity/octotree,22400
gitpod-io,gitpod,https://github.com/gitpod-io/gitpod,10600
reviewdog,reviewdog,https://github.com/reviewdog/reviewdog,6300
danger,danger,https://github.com/danger/danger,5100
danger,danger-js,https://github.com/danger/danger-js,4900
joho,awesome-code-review,https://github.com/joho/awesome-code-review,3900
ajinabraham,nodejsscan,https://github.com/ajinabraham/nodejsscan,2100
microsoft,vscode-pull-request-github,https://github.com/microsoft/vscode-pull-request-github,2000
houndci,hound,https://github.com/houndci/hound,1900
mbj,mutant,https://github.com/mbj/mutant,1900
crev-dev,cargo-crev,https://github.com/crev-dev/cargo-crev,1800
reviewboard,reviewboard,https://github.com/reviewboard/reviewboard,1500
Tencent,CodeAnalysis,https://github.com/Tencent/CodeAnalysis,1400
ryanmcdermott,code-review-tips,https://github.com/ryanmcdermott/code-review-tips,1300
bit4woo,python_sec,https://github.com/bit4woo/python_sec,1200
code-review-checklists,java-concurrency,https://github.com/code-review-checklists/java-concurrency,1200
TeamCodeStream,codestream,https://github.com/TeamCodeStream/codestream,873
jiangsir404,Audit-Learning,https://github.com/jiangsir404/Audit-Learning,863
enlightn,enlightn,https://github.com/enlightn/enlightn,779
palantir,policy-bot,https://github.com/palantir/policy-bot,608
