Username,Repository Name,Repository Link,Stars
ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,158000
junegunn,fzf,https://github.com/junegunn/fzf,51800
sharkdp,bat,https://github.com/sharkdp/bat,40900
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,40500
BurntSushi,ripgrep,https://github.com/BurntSushi/ripgrep,37400
google,zx,https://github.com/google/zx,37200
wagoodman,dive,https://github.com/wagoodman/dive,36500
chubin,cheat.sh,https://github.com/chubin/cheat.sh,35100
jesseduffield,lazygit,https://github.com/jesseduffield/lazygit,34200
cli,cli,https://github.com/cli/cli,32100
spf13,cobra,https://github.com/spf13/cobra,31600
n8n-io,n8n,https://github.com/n8n-io/n8n,29700
httpie,httpie,https://github.com/httpie/httpie,27400
alebcay,awesome-shell,https://github.com/alebcay/awesome-shell,27200
sharkdp,fd,https://github.com/sharkdp/fd,27200
ibraheemdev,modern-unix,https://github.com/ibraheemdev/modern-unix,26400
angular,angular-cli,https://github.com/angular/angular-cli,26100
acheong08,ChatGPT,https://github.com/acheong08/ChatGPT,24800
tqdm,tqdm,https://github.com/tqdm/tqdm,24600
google,python-fire,https://github.com/google/python-fire,24400
