Username,Repository Name,Repository Link,Stars
localstack,localstack,https://github.com/localstack/localstack,46900
harness,drone,https://github.com/harness/drone,26800
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,20700
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12700
theonedev,onedev,https://github.com/theonedev/onedev,11100
openshift,origin,https://github.com/openshift/origin,8300
dagger,dagger,https://github.com/dagger/dagger,8200
concourse,concourse,https://github.com/concourse/concourse,6800
gocd,gocd,https://github.com/gocd/gocd,6800
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,5000
buildbot,buildbot,https://github.com/buildbot/buildbot,5000
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,4900
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4400
ovh,cds,https://github.com/ovh/cds,4200
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3800
hygieia,hygieia,https://github.com/hygieia/hygieia,3800
iterative,cml,https://github.com/iterative/cml,3700
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,3600
werf,werf,https://github.com/werf/werf,3600
